8467,7396
8467,7395
8467,58809
8467,7409
10451,1614
20156,56205
18395,1201
522,510
522,17217
522,1479807
522,1486978
397,8844
10525,7904
27985,148119
15789,15775
15789,56147
27303,57090
21183,87695
10954,67794
47867,1566166
43475,129534
72031,97755
14275,122449
1024,108
17207,77121
13701,57851
14819,32593
32631,1203
11777,64061
628,17016
87729,54441
18713,73668
6280,8858
9061,56872
9061,1377239
37108,62043
6071,23393
11,1
9587,58094
9587,1384398
19101,11218
19101,1370965
49980,15488
17961,19069
18183,22767
4476,9181
11008,14692
47504,20561
47504,1209612
32325,3110
43742,58463
43742,1341865
28313,15912
11318,55476
3036,11181
40490,27444
24070,9248
8986,24318
10510,56911
17402,5065
38722,16395
8438,54971
11593,6729
11593,1183454
1945,10781
39310,17278
109560,129957
56428,70905
63105,63937
131957,131792
241,1152
9058,13563
527,7256
18220,2873
6950,5231
101,59
101,1288056
101,8392
63020,6495
63020,1407825
2307,23757
680,138
680,1895865
680,58809
41478,16214
25296,1614
40156,42617
11450,4135
11450,18127
30304,994323
30304,1614184
30304,1728298
30304,1728299
30304,1728302
10452,23724
12106,7623
161495,12804
3586,9789
110,1126
108,1126
109,1126
159185,77305
36357,45642
92769,133793
28033,1524
22586,107274
22586,1741439
22586,1741457
22586,1741458
14334,102445
2636,26648
2164,6046
2164,1434627
11395,58072
278,4027
278,1123794
278,106117
278,77295
278,74823
9905,2034
87078,101444
87078,101446
87078,124660
12527,72646
12527,72647
20306,57028
36614,91499
36614,72629
27993,64030
31439,607
9067,56891
9059,15521
193,2380
25066,141825
46797,58080
12122,11770
11381,13426
32636,15389
36141,1884
36141,1427384
95963,76705
1587,5306
9271,57090
2064,12962
19855,18250
60855,1230367
60855,1396510
236,3045
48287,83313
3049,4499
2759,27889
12635,1978
10497,3556
11382,1243
9331,13015
9331,62543
9331,1453319
10731,5572
10464,16853
34152,5281
9495,21085
9495,1521754
29973,4037
888,13581
13,24
13,13930
13,1434225
712,10723
16295,6482
48992,81727
10879,56106
10879,74823
10660,41550
10714,7775
41647,226963
8587,15812
8587,18898
8587,1447436
8587,1447483
1689,4956
11596,5140
11596,553772
854,26713
9359,7187
23333,72427
36593,13426
12280,6159
2788,7399
10427,21053
11011,18281
11011,1481828
49803,83588
8987,323
1637,2209
15128,33485
8831,37710
8831,1384398
36955,2710
10449,46085
10395,5342
10395,1395373
12160,8844
40480,42301
52038,158634
29444,72125
29444,1399029
26352,35689
39953,133183
39953,1066114
39953,1087439
41580,234793
315,4590
22067,67896
18242,80537
11667,1726
32502,486
267188,126837
28732,1142481
75555,532207
42981,129216
278939,1382436
291731,1385254
226229,220152
203119,4040
172923,16401
316098,223910
316098,1410160
8011,53599
171857,77076
2654,11770
18069,16513
19092,88060
2758,5174
38129,15106
10436,1032
13595,7145
13595,1341815
46094,12988
9409,12840
11853,42171
16771,78188
46924,68687
11041,58448
306,4610
14522,1901
26203,10781
178,2042
19819,15175
57834,32765
4722,39104
18215,14800
1607,380
1607,18127
26391,57107
117553,61175
6075,1150
6075,52991
6075,1467275
6075,1475003
11310,66548
18658,8843
9350,16938
9612,18308
2124,21806
26261,12964
19176,27236
19176,1467275
49299,39104
11566,8858
11566,1535427
9571,564
9739,57027
9739,58838
9739,1422074
24257,86
34444,5216
26141,1895
10997,20640
50463,18281
50463,1342629
10443,2690
10443,1371069
20239,141825
16297,50949
18551,10967
25440,17784
9024,5174
37233,2226
1634,18254
13815,52358
5503,12989
35588,1723
35588,10956
35588,1424319
2087,21370
41579,26502
18620,172993
41006,5696
4916,39996
2019,11401
2019,1392150
31642,1152
9255,12936
26271,94996
26271,1543451
10612,65859
10612,1727311
2259,19684
16097,77733
11934,1223
106143,3388
12475,774
12475,1400833
9386,5231
9386,2447
7984,40749
7984,53334
7984,86332
7984,957967
59930,230059
15765,18069
31643,8246
6,2042
329,488
329,1341865
329,1633960
329,139086
329,92342
10909,58498
10909,1427384
10909,1478283
507,8297
34024,1884
29918,40549
9593,1090
9593,5015
42580,90037
22317,18254
22317,57147
22317,71192
1413,224
12121,24318
2246,23213
10502,2461
10440,1243
10440,578324
10440,1561591
9516,11447
9516,11448
2320,2523
5879,46230
83718,119232
11971,11181
2625,6111
31911,2239
31911,958273
788,10965
21450,65452
11231,56828
41588,16939
10447,10702
10447,11266
31586,3026
9300,57206
9559,190
9800,16294
9800,16296
9800,91160
713,10757
8291,6482
18133,12920
25557,29482
22588,141450
10872,34849
1245,54441
1245,1467116
1245,1394104
1245,17599
1245,957967
11858,14911
7007,648
10467,9168
5550,44056
8005,14639
8005,1403548
8005,1902318
2088,21377
2088,1183454
10412,65026
47889,138322
47889,1607808
14534,44847
56583,15858
41878,127283
424,488
35233,12964
14291,2260
103413,8969
11236,1128
11236,1881627
11592,10367
8850,52968
10445,4786
10445,1462919
695,9789
43535,33405
12519,72624
23210,64061
858,9248
858,1464541
867,13015
867,1173602
78,578
13203,54590
10442,15106
11074,63943
33367,111687
9607,58164
9607,58165
17585,15521
9057,45645
20967,78012
10635,41549
9479,57646
10057,18356
10057,1385884
11969,16566
11969,1391400
