director_id,name,gender
1068048,Arnaud des Pallières,x
71267,Kirk De Micco,m
1315119,Jason James,x
228311,Keith Parmer,x
3084,Marlon Brando,m
203953,Eric Simonson,x
65613,Jeffrey Kusama-Hinte,m
1197196,Nicholas Humphries,x
1554540,Maithili Kaishap,x
1610619,Vivek Aryan,x
1383170,Ben O'Brien,x
1272013,Nikos Grammatikos,x
58072,John Pasquin,m
5696,Bruce Beresford,m
1468144,Kate Drennen,x
52691,Anthony Stacchi,m
198613,Shawn Piller,x
1088035,Cheng Er,x
1165803,Ain Mäeots,x
32096,Pierre Granier-Deferre,x
1294805,Lee Hyeon-seung,x
1653774,Thomas Della Bella,x
1608928,Kahane Cooperman,x
1211216,Caradog W. James,x
1320713,Rebecca Asher,x
57665,Eric Karson,m
1668446,Scott Owen Moore,x
26739,Sylvia Chang,f
134306,Kevin Sullivan,m
1036182,Ted Kneeland,m
1093719,Peter B. Hutton,x
587348,Youichi Mouri,x
1642946,Rolf Carlsten,x
1146033,Rüdiger Sünner,x
1157091,Meera Menon,f
72406,Adam Small,m
1139073,Brad Osborne,x
1245938,David Jablin,x
2261,Martin Stellman,m
934336,Tom Stout,x
9833,Henrik Galeen,m
1162993,Julien Abraham,x
186788,John Robins,x
29321,Terry O. Morse,x
1031222,Ari Daniel Pinchot,x
1297766,Olivier Delabarre,x
1376617,Audrey Cummings,x
544554,Hajime Kadoi,x
984152,Vivek Shah,m
1087439,Raoul O'Connell,x
52114,Jon Lucas,m
1301672,Robert Hessens,x
1295443,Alan Lowery,x
87083,Vladimir Grammatikov,x
145022,Diego Lerman,x
107226,Alessandro Capone,x
51785,Charlie Loventhal,x
1118074,Marina Razbezhkina,f
23388,Hippolyte Girardot,m
1869427,Karim El Shenawy,x
2588,Sidney Levin,m
119137,Atsuya Uki,x
716,Emile Ardolino,m
15459,Byambasuren Davaa,x
1853349,János Hollós,x
222583,William Wesley,m
1161644,Wei Te,x
1722103,C.C. Thompson,x
550690,Meghan Eckman,x
999620,Aleksandr Medvedkin,x
1058,Bob Gale,m
1098658,John Poliquin,x
1456433,Lew Borzage,m
227842,Susanna Nicchiarelli,x
31008,Salvatore Mereu,x
1006847,Bénédicte Kermadec,x
1482100,Edward L. Ghertner,x
1640410,Marilyn Clarke,x
40184,Philip Leacock,m
1405371,Glòria Blanes,f
1350674,Iván Dariel Ortiz,x
131239,Marshall Curry,x
115589,Andy Signore,x
1554360,Michael Neumann,x
108499,Manuel Gómez Pereira,x
1116651,John Jencks,x
1311866,Yevgeni Pashkevich,x
11523,Georges Méliès,x
20204,James Vanderbilt,m
121758,Linda Feferman,f
32233,Tommy Pallotta,m
123925,Yves Pelletier,m
1481961,Jennifer Liao,x
225721,Georgiy Kropachyov,m
2758,Timothy Carey,m
1355702,Sidney Sokhona,x
39460,Rod Holcomb,m
85028,Jun'ya Satô,x
1025748,Chuck Workman,m
1227842,Jon East,m
1426627,Jonathon Narducci,x
1084300,Hu Sang,x
73508,Philippe Muyl,m
148347,Anastasia Pappas,x
23921,Aleksandr Buravsky,x
1138750,Bastian Günther,x
937061,François Velle,x
219961,Kim Farrant,x
1138212,Christian Winters,x
